username,sentiment_score,dominant_sentiment
adelina_ilardi_,76.03,Positive 😄
2traveldads,81.82,Positive 😄
abcauthor,79.68,Positive 😄
afrugalchick,95.45,Positive 😄
basmamagazine,79.58,Positive 😄
akaastrid,73.15,Positive 😄
cassidy_naber,79.01,Positive 😄
allanhov,80.42,Positive 😄
asplashofnash,83.65,Positive 😄
annalisa.veronica,78.84,Positive 😄
beatriceturner,78.43,Positive 😄
anitabanushi,74.02,Positive 😄
aussieleonardo,76.56,Positive 😄
burseygirl84reviews,78.67,Positive 😄
cassiecocoa,81.49,Positive 😄
2lives1camera,85.71,Positive 😄
ashley.brionne,76.14,Positive 😄
ashleighgrams,77.15,Positive 😄
arshiamoorjani,78.06,Positive 😄
991wqik,83.33,Positive 😄
alyssacherise,78.88,Positive 😄
1051knci,81.25,Positive 😄
alaynaflan,75.79,Positive 😄
1stoftheday,100.0,Positive 😄
choosingchia,76.68,Positive 😄
charlotteca88,77.74,Positive 😄
beazysbites,77.09,Positive 😄
celinecortess,87.18,Positive 😄
____auguste____,88.89,Positive 😄
brooke.santefort,78.4,Positive 😄
a.dog.walks.into.a.bar,89.58,Positive 😄
amy.zahirski_196,100.0,Positive 😄
carolina.meschini,85.64,Positive 😄
barrysgame,78.02,Positive 😄
artclasscurator,100.0,Positive 😄
camillelolafit,75.58,Positive 😄
4bangerbuilder,93.75,Positive 😄
chantelleenelson,79.37,Positive 😄
aboutgoodtimes,79.61,Positive 😄
aramisg,78.78,Positive 😄
all_1k,77.86,Positive 😄
alicebeaulieu,75.68,Positive 😄
ailed14,76.0,Positive 😄
belen_soto,75.69,Positive 😄
ashleybenfit,73.76,Positive 😄
ashleynmcatee,78.71,Positive 😄
joshchachimarunde,83.64,Positive 😄
caittheegreat__,77.86,Positive 😄
atlantafamee,75.0,Positive 😄
benjamin_zeil,89.29,Positive 😄
cajsascriborn,78.15,Positive 😄
becci_hollie.mummy,92.31,Positive 😄
andimackmemes,82.07,Positive 😄
ajuliarabello,76.45,Positive 😄
awedbymoni,77.08,Positive 😄
alonuko,81.08,Positive 😄
baileycrush,77.78,Positive 😄
caits.wanderful.adventures,77.13,Positive 😄
carneljohnyeup,86.11,Positive 😄
2kidsandacoupon,84.57,Positive 😄
artofoto,76.52,Positive 😄
candidfeelings_,79.17,Positive 😄
hernameislindz,77.72,Positive 😄
981chfi,78.64,Positive 😄
allisonbailey1,74.25,Positive 😄
blog4over40,76.09,Positive 😄
annakarolaengelhardt,94.44,Positive 😄
