username,sentiment_score,dominant_sentiment
chantaltrd,51.45,Neutral 😐
brockwayout,49.75,Neutral 😐
blackwhiteandbrunette,50.0,Neutral 😐
calebwallace,50.0,Neutral 😐
abekislevitz,49.92,Neutral 😐
beautifullyelegantblog,49.96,Neutral 😐
analisseworld,51.57,Neutral 😐
bossfidence,51.49,Neutral 😐
charliezhuang,49.91,Neutral 😐
bertuxy,49.04,Neutral 😐
camperdreamin,48.4,Neutral 😐
chimicaecannella,50.0,Neutral 😐
chloeverard,50.0,Neutral 😐
amandasummerr,48.53,Neutral 😐
35elementos,48.74,Neutral 😐
myriamcoteee,46.67,Neutral 😐
azradc,50.12,Neutral 😐
ca_averygrace,48.83,Neutral 😐
amy.weng,50.57,Neutral 😐
anna_sisterparis,50.32,Neutral 😐
chaosofkyra,50.92,Neutral 😐
anja_mari,50.11,Neutral 😐
_briyates_,50.0,Neutral 😐
carmenicole,50.66,Neutral 😐
adielgrech,49.83,Neutral 😐
baby_fitgym,50.46,Neutral 😐
amandadomenico,50.35,Neutral 😐
brunapegoraro,57.14,Neutral 😐
anastasiacasaluci,50.52,Neutral 😐
blakeleysblondelife,49.8,Neutral 😐
alingzhang,47.86,Neutral 😐
beautyfashlaw,49.96,Neutral 😐
boho_addict,50.14,Neutral 😐
celestethebest7,0.0,Neutral 😐
cadzn,50.0,Neutral 😐
a.mill3,50.32,Neutral 😐
abesanchez7,51.49,Neutral 😐
biffandi,49.54,Neutral 😐
aristailona,46.43,Neutral 😐
advertdesigner,50.0,Neutral 😐
5sur5tv,60.0,Neutral 😐
camillashiver,51.41,Neutral 😐
annac42,52.34,Neutral 😐
asiyaali,49.78,Neutral 😐
aviyr,50.22,Neutral 😐
alt987fm,49.88,Neutral 😐
barbershopconnect,51.22,Neutral 😐
ameliaskyefitness,50.68,Neutral 😐
chiaranorischiorda,49.5,Neutral 😐
amesinteriors,52.51,Neutral 😐
brittsimerson,49.95,Neutral 😐
aricalz,51.41,Neutral 😐
anna_loona,48.63,Neutral 😐
breakfastcriminals,50.61,Neutral 😐
1061bli,50.35,Neutral 😐
buffsalon,48.58,Neutral 😐
chocobi8011,48.33,Neutral 😐
andyboliveira,0.0,Neutral 😐
beautifuleatsandthings,49.37,Neutral 😐
brookesouza,49.96,Neutral 😐
agirlandagluegun,50.15,Neutral 😐
black_soap,50.19,Neutral 😐
bonprime,50.0,Neutral 😐
alissandash,49.95,Neutral 😐
ari_says,49.79,Neutral 😐
chefmschwartz,49.43,Neutral 😐
bouchiclifestyle,50.38,Neutral 😐
anathuerk,46.15,Neutral 😐
bohemianfoodgasm,46.88,Neutral 😐
alikebikini,47.73,Neutral 😐
aluisalopes,48.81,Neutral 😐
absolutelyyamber,50.36,Neutral 😐
angelicarosej,51.43,Neutral 😐
alainakozy,50.0,Neutral 😐
adriehawk,50.55,Neutral 😐
aislingchan,49.8,Neutral 😐
chelsea_ma,49.06,Neutral 😐
blackish.gold,51.07,Neutral 😐
boricuafueradelaisla,50.0,Neutral 😐
adventuresinabbyland,50.09,Neutral 😐
bollywoodbubble,50.07,Neutral 😐
alyssajensprice,50.0,Neutral 😐
cassidiebasso,49.89,Neutral 😐
chow.allen,0.0,Neutral 😐
chelsea10166,50.0,Neutral 😐
charthebabe,50.74,Neutral 😐
airscense,50.0,Neutral 😐
brazzersgirlscollection,100.0,Positive 😄
aprilsixx_,50.0,Neutral 😐
casando_com_estilo,49.27,Neutral 😐
allthingsdisney.19,50.56,Neutral 😐
bitemevancouver,50.52,Neutral 😐
all.daydreamers,50.0,Neutral 😐
afiyahinds,49.7,Neutral 😐
2acresinthecity,50.0,Neutral 😐
chelseawiek,52.27,Neutral 😐
andreeabelc,50.0,Neutral 😐
axilliacosplay,49.26,Neutral 😐
arianetonka,50.0,Neutral 😐
bestfoodalex,49.98,Neutral 😐
annikenbyberg,51.54,Neutral 😐
ashamorskitchen,50.47,Neutral 😐
blushingnoir,49.72,Neutral 😐
benshorts,53.54,Neutral 😐
carlomerli,49.25,Neutral 😐
angelayee,49.44,Neutral 😐
artbylisa._,49.68,Neutral 😐
alexbrdd,45.0,Neutral 😐
alicestar_k,49.61,Neutral 😐
alexsimpson_x,49.83,Neutral 😐
chiaretta1991cc,50.27,Neutral 😐
2hearts_1love,51.23,Neutral 😐
adriennebailon,49.92,Neutral 😐
chloesugarr,49.73,Neutral 😐
alineane_,46.67,Neutral 😐
brightontrobertson,51.89,Neutral 😐
amanda.grace,50.0,Neutral 😐
alissabowman,50.58,Neutral 😐
laquennedy,50.0,Neutral 😐
belubarriga,49.12,Neutral 😐
camillefilledavril,49.54,Neutral 😐
bestfriendsforfrosting,50.03,Neutral 😐
carolinalynn_model,47.89,Neutral 😐
addicted2recipe,50.2,Neutral 😐
angelinaraev,49.16,Neutral 😐
alcslimmingworld,50.19,Neutral 😐
ayleenvalentic,50.0,Neutral 😐
chrisfdsilva,48.89,Neutral 😐
anastasia_greer,50.0,Neutral 😐
alelifeofficial,48.61,Neutral 😐
aleyahs,48.98,Neutral 😐
beautyandthevlog,50.06,Neutral 😐
ayanaiman,50.08,Neutral 😐
captureyesstudio,51.5,Neutral 😐
chrismiss_,51.09,Neutral 😐
cheshiregossipgirl,49.67,Neutral 😐
bigshawnkemp,49.91,Neutral 😐
awesemtolentino,49.98,Neutral 😐
amyboylephoto,50.82,Neutral 😐
chloenazarine,49.76,Neutral 😐
bellbelltheshorkie,49.67,Neutral 😐
breeannbarbie,49.5,Neutral 😐
4theloveofmommy,50.19,Neutral 😐
azramijnsbergen,49.68,Neutral 😐
alessiozazzeri,50.16,Neutral 😐
beatrizlarrat,47.11,Neutral 😐
amyytk,49.98,Neutral 😐
badbwoyrebel,48.08,Neutral 😐
1079thelink,50.0,Neutral 😐
chicdisheveled,50.01,Neutral 😐
alma_creativa,51.07,Neutral 😐
ashleyosborn,50.29,Neutral 😐
blondiefrommd,55.0,Neutral 😐
bosfashionista,49.39,Neutral 😐
cheetahtalkymas,50.2,Neutral 😐
amakahamelijnck,50.13,Neutral 😐
chana_bush,49.94,Neutral 😐
aarconnolly,0.0,Neutral 😐
a1delatorre,50.08,Neutral 😐
ashleynatasha,51.52,Neutral 😐
awesomeworldtrip,49.81,Neutral 😐
888dre,51.53,Neutral 😐
aboutcolours,50.71,Neutral 😐
ar1gona,49.81,Neutral 😐
amacreator,50.67,Neutral 😐
braidsbyjewelz,50.59,Neutral 😐
arlothepomsky,49.81,Neutral 😐
canadiandadblog,50.0,Neutral 😐
arroin80,48.5,Neutral 😐
catherinexblackxmodel,48.65,Neutral 😐
aisling_cooney,48.61,Neutral 😐
blogdamafe,50.11,Neutral 😐
andreblunt,50.0,Neutral 😐
banksthegolden,47.92,Neutral 😐
alvarezlorenaalvarez,49.81,Neutral 😐
angigreene,50.06,Neutral 😐
byrdiebeauty,50.69,Neutral 😐
akashisdeep,50.71,Neutral 😐
addisonswonderland,50.15,Neutral 😐
allzecosplay,50.13,Neutral 😐
aratariathome,49.99,Neutral 😐
briviglianco,49.62,Neutral 😐
__boon,50.0,Neutral 😐
alliemalugenx,51.72,Neutral 😐
alliegee319,50.35,Neutral 😐
black_marketco,0.0,Neutral 😐
albinwonderland,49.49,Neutral 😐
averystamm,49.84,Neutral 😐
azizamakame,48.92,Neutral 😐
andreiacalisto,46.87,Neutral 😐
blognatirios,49.4,Neutral 😐
anjudagme,47.37,Neutral 😐
actorkevintan,50.0,Neutral 😐
cheesesexdeath,51.26,Neutral 😐
anitta,49.84,Neutral 😐
anittafortal,50.0,Neutral 😐
bossladiesmx,50.0,Neutral 😐
boyintheblkhat,49.44,Neutral 😐
ana_coppola_,52.27,Neutral 😐
asmastudio,50.88,Neutral 😐
carlafitlife,48.25,Neutral 😐
charlie.n.friends,50.0,Neutral 😐
chef.souschef,51.67,Neutral 😐
939wkys,50.0,Neutral 😐
amomentwithfranca,50.15,Neutral 😐
caragill,50.98,Neutral 😐
alexanderelebro,50.37,Neutral 😐
brentrivera,50.4,Neutral 😐
ca.mi.co,50.0,Neutral 😐
charlesabinader,50.0,Neutral 😐
amy.terpos,48.84,Neutral 😐
books.coffee.lifestyle,50.0,Neutral 😐
adrilately,49.74,Neutral 😐
btimestories,46.15,Neutral 😐
btcalgary,51.67,Neutral 😐
alicefairydream,51.11,Neutral 😐
aforeigner.abroad,50.48,Neutral 😐
beelievedahype,49.78,Neutral 😐
antonionunziata,49.2,Neutral 😐
anastasia_tsilimpiou,50.17,Neutral 😐
alicefwalker,49.6,Neutral 😐
808projectd,50.0,Neutral 😐
aprilorgill,50.15,Neutral 😐
cctomb,52.17,Neutral 😐
chiaradalben,50.0,Neutral 😐
avelynlane,50.17,Neutral 😐
bucketlisttummy_rd,49.88,Neutral 😐
brandijeter,49.77,Neutral 😐
blablablacarol,50.37,Neutral 😐
atladventurer,49.55,Neutral 😐
alexdolly,49.9,Neutral 😐
andreaalonsoaa,51.43,Neutral 😐
brandirockmatthews,50.19,Neutral 😐
alexroving,48.3,Neutral 😐
bjrens,49.95,Neutral 😐
bubilu,50.8,Neutral 😐
bobbyschuessler,50.2,Neutral 😐
andreadipietro10,49.39,Neutral 😐
amandasok,49.84,Neutral 😐
blackhealthlifestyle,50.0,Neutral 😐
blondes.rock,49.52,Neutral 😐
annmariebailey_,49.95,Neutral 😐
audreybeliveau,49.93,Neutral 😐
4ever_dcu,50.0,Neutral 😐
beautybythebunny,50.72,Neutral 😐
advicefroma20something,50.17,Neutral 😐
camilamayrink,51.99,Neutral 😐
alyssa.nicoleyt,52.03,Neutral 😐
5secondrulee,45.0,Neutral 😐
cantbeatthequeen,0.0,Neutral 😐
anna.everywhere,49.67,Neutral 😐
bakingheartblog,49.26,Neutral 😐
aure0lia,50.21,Neutral 😐
bullmastiff.dog,53.57,Neutral 😐
anton1s_p,50.59,Neutral 😐
fitnesstransformer,50.2,Neutral 😐
candywaltrip,49.62,Neutral 😐
blankitinerary,50.0,Neutral 😐
andrewjim,50.12,Neutral 😐
aglamlifestyle,49.8,Neutral 😐
addieg2,49.72,Neutral 😐
chloelondonn,49.58,Neutral 😐
algerielles___,50.12,Neutral 😐
ashley_delucca,50.57,Neutral 😐
amgreetings,50.36,Neutral 😐
babiesimports.eua,0.0,Neutral 😐
blahsam,50.44,Neutral 😐
arnnoo,52.34,Neutral 😐
angeldellabeauty,49.63,Neutral 😐
aru89,49.52,Neutral 😐
betheplebeian,50.51,Neutral 😐
amandalynjane,50.07,Neutral 😐
aomvaraa,50.0,Neutral 😐
betch_perfect,50.92,Neutral 😐
basastevulova,50.55,Neutral 😐
chan_askins,50.08,Neutral 😐
carmendiprima,50.1,Neutral 😐
abigail.oneel,50.0,Neutral 😐
christinazapolski,49.66,Neutral 😐
barracobrasil,50.08,Neutral 😐
brandyleann,47.82,Neutral 😐
anandhuofficial,50.0,Neutral 😐
chalkboardnails,50.0,Neutral 😐
adamw,49.72,Neutral 😐
brobible,49.86,Neutral 😐
beautybymadsen,50.04,Neutral 😐
amiefaily,50.59,Neutral 😐
bestofstreetstyled,49.31,Neutral 😐
blondie_lili,50.23,Neutral 😐
carpcak3,50.0,Neutral 😐
alexandramorris_,51.24,Neutral 😐
alyssa.lenore,50.15,Neutral 😐
barry_conrad,49.76,Neutral 😐
brookeblogs,0.0,Neutral 😐
chefsymon,50.14,Neutral 😐
camille_mbl,50.85,Neutral 😐
ammarhina,0.0,Neutral 😐
carena_west,51.04,Neutral 😐
amandamccants,50.58,Neutral 😐
bohemian_heart,49.95,Neutral 😐
aaronchisholmnz,50.0,Neutral 😐
brushmastersgetaway,52.33,Neutral 😐
funmoneymom,49.77,Neutral 😐
hellohikimi,52.17,Neutral 😐
_azusaloha_,50.47,Neutral 😐
beautifulpaper,50.25,Neutral 😐
alexzandrapeters,50.34,Neutral 😐
amareaofficial,50.0,Neutral 😐
ang.reeves,0.0,Neutral 😐
atleeeey,50.09,Neutral 😐
_caroldoria,50.23,Neutral 😐
bcuvoice,50.0,Neutral 😐
caitlinbea,49.81,Neutral 😐
alliewes,49.41,Neutral 😐
ayhollywood,51.43,Neutral 😐
andrecotasousa,0.0,Neutral 😐
akronohiomoms,0.0,Neutral 😐
avi.deh,52.63,Neutral 😐
angesdesucre,50.04,Neutral 😐
__beautifulpeace,52.54,Neutral 😐
beccatilley,51.55,Neutral 😐
baloublue,49.78,Neutral 😐
beedurst,50.86,Neutral 😐
alldayshappiness,49.58,Neutral 😐
995qyk,43.75,Neutral 😐
adi.gillespie,49.02,Neutral 😐
chevywine,47.62,Neutral 😐
ameer_mango,0.0,Neutral 😐
brunogagliasso,49.73,Neutral 😐
binkiesandbaubles,51.02,Neutral 😐
ambervdzalm,49.78,Neutral 😐
997thefox,50.0,Neutral 😐
ariadnatb,49.29,Neutral 😐
alissaviolet,50.48,Neutral 😐
bellaportelli,50.0,Neutral 😐
ayce09,49.72,Neutral 😐
arianequirion,48.0,Neutral 😐
aysegul.sanford,49.81,Neutral 😐
boymominjeans,50.06,Neutral 😐
blerislifestyle,50.08,Neutral 😐
cassandralrosen,53.03,Neutral 😐
attruongg,50.47,Neutral 😐
boulderlocavore,50.47,Neutral 😐
alittlebitetc,49.89,Neutral 😐
adriana.monsalve,49.79,Neutral 😐
babypontello,50.36,Neutral 😐
allexandrarosee,50.0,Neutral 😐
bbabushka,53.95,Neutral 😐
andrea_faustini,50.24,Neutral 😐
bonniecurryonair,50.0,Neutral 😐
cheyanneee,25.0,Negative 😔
briananjackson,50.0,Neutral 😐
alfred,48.53,Neutral 😐
annasmommyblog,50.99,Neutral 😐
camsbotten,49.81,Neutral 😐
amazonangel_,50.66,Neutral 😐
actorcarlosayala,50.27,Neutral 😐
_artacha,49.8,Neutral 😐
carlomolfetta,50.29,Neutral 😐
biancamaycheah,50.17,Neutral 😐
blogmachomoda,49.6,Neutral 😐
aastronauta_,51.06,Neutral 😐
camdusablon,52.94,Neutral 😐
astylealbum,50.13,Neutral 😐
cafequest_iran,0.0,Neutral 😐
belle_of_the_ball_beauty83,49.99,Neutral 😐
bellamanzano,50.0,Neutral 😐
beautx_n,50.06,Neutral 😐
chantellelise,48.21,Neutral 😐
alyssarenna,49.94,Neutral 😐
alwayscleia,49.99,Neutral 😐
alvainnala,49.21,Neutral 😐
blissfulbasil,50.43,Neutral 😐
absterr7,50.0,Neutral 😐
chlo__j,50.0,Neutral 😐
arsenal_democracy,48.08,Neutral 😐
bowlofdelicious,49.71,Neutral 😐
amsterdamcityguide,49.78,Neutral 😐
ashghotcakess,50.22,Neutral 😐
1nteriors,50.0,Neutral 😐
anabrans,53.46,Neutral 😐
aloha.melissa,49.64,Neutral 😐
ajstylesp1,50.58,Neutral 😐
caseysasser,50.0,Neutral 😐
by.osquare,50.28,Neutral 😐
catherinevanboeckel,51.02,Neutral 😐
24colours,50.0,Neutral 😐
biteswithbre,50.27,Neutral 😐
arnaumarin,50.21,Neutral 😐
anotherbloggermum,50.56,Neutral 😐
annamcnaughty,50.57,Neutral 😐
berkshiresmacaronikid,47.06,Neutral 😐
ad.recife,0.0,Neutral 😐
bitwitkyle,50.51,Neutral 😐
amirmodd,50.12,Neutral 😐
bresheppard,49.69,Neutral 😐
annelisehall,49.66,Neutral 😐
annekathrinjahnel,53.08,Neutral 😐
brandon_saxony,51.47,Neutral 😐
arsportfitnessvilavelha,50.0,Neutral 😐
britstrawbridge,50.85,Neutral 😐
downredbuddrive,47.37,Neutral 😐
carloalbertomaccanromanoff,50.15,Neutral 😐
beautifully_candid,49.68,Neutral 😐
cameonistas,49.76,Neutral 😐
accidentallyaaron,49.78,Neutral 😐
atsunamatsui,50.47,Neutral 😐
annaclaraserpa,50.32,Neutral 😐
benedettapascali,50.22,Neutral 😐
arcaviopietropinto,48.4,Neutral 😐
bruna_rego,51.14,Neutral 😐
asliceopi,50.42,Neutral 😐
angelicafredricsson,50.77,Neutral 😐
azela_ruiz,0.0,Neutral 😐
ashrockchalk,49.97,Neutral 😐
alexandra.kirchberger,46.15,Neutral 😐
carrie_marcianti_jones,49.99,Neutral 😐
ak_tayl0r,50.0,Neutral 😐
britain_bennett,50.56,Neutral 😐
bujobarbie,49.17,Neutral 😐
ceciotta_,50.0,Neutral 😐
ami__yone,50.0,Neutral 😐
balencianna,50.78,Neutral 😐
bebaworbis,51.52,Neutral 😐
aoibhmurphy,50.16,Neutral 😐
ashleyguarrasi,50.11,Neutral 😐
brendendahle,50.35,Neutral 😐
bodiphybyphyllondon,50.45,Neutral 😐
alexajadewarren,51.35,Neutral 😐
chii_ne,47.73,Neutral 😐
baynesandbaker,51.7,Neutral 😐
alejandraremon,49.32,Neutral 😐
bandanajax,51.45,Neutral 😐
brunchnista,49.81,Neutral 😐
chantalleniczko,50.0,Neutral 😐
campistapolemico,49.01,Neutral 😐
agentdolcevitadxb,50.0,Neutral 😐
calories.tips,49.58,Neutral 😐
cantinhodaamiga,50.12,Neutral 😐
cocobassey,49.45,Neutral 😐
b_savy,49.82,Neutral 😐
amparovelazquez1,52.41,Neutral 😐
alligatorteaars,48.91,Neutral 😐
brunomaffei,48.98,Neutral 😐
admwild,50.0,Neutral 😐
allergictovanilla,50.11,Neutral 😐
briantron,50.91,Neutral 😐
christianstonesc,49.92,Neutral 😐
brendanvanson,50.61,Neutral 😐
abbasorousrex,50.33,Neutral 😐
allwhitemoon,49.48,Neutral 😐
aperfectpumpkin,50.55,Neutral 😐
awmarymarymary,50.34,Neutral 😐
binkyfelstead,48.84,Neutral 😐
anavictorinotv,48.96,Neutral 😐
begomartin3,49.83,Neutral 😐
aboutlaurenmay,50.0,Neutral 😐
alexdaviesofficial,49.94,Neutral 😐
chanel_pomeranian,50.0,Neutral 😐
azrmila,55.36,Neutral 😐
benbrami,49.73,Neutral 😐
amanda1pride,75.0,Positive 😄
chie.0214,52.08,Neutral 😐
chanelambrose,49.99,Neutral 😐
betoelpatron,46.02,Neutral 😐
arobinsonart,47.85,Neutral 😐
babimaronna,50.69,Neutral 😐
adriana_shoppingdabeleza,50.0,Neutral 😐
ashleylouisejames,49.85,Neutral 😐
aubreyallaround,50.26,Neutral 😐
ca11um.b,52.08,Neutral 😐
caseylavie,49.68,Neutral 😐
caminovision,0.0,Neutral 😐
bethanystruble,50.0,Neutral 😐
0paline,50.34,Neutral 😐
beautyandthebambino,49.34,Neutral 😐
black_mhk,55.88,Neutral 😐
aniasvibrantkitchen,50.56,Neutral 😐
carlaestevezblog,50.1,Neutral 😐
ambermac,50.18,Neutral 😐
binkysculinarycarnival,51.74,Neutral 😐
beigeojai,50.07,Neutral 😐
caroline_backus,47.83,Neutral 😐
ayeshatanjones,50.0,Neutral 😐
ashl3y_denis3,49.56,Neutral 😐
chaseblood,53.12,Neutral 😐
annieatoz,49.94,Neutral 😐
blondeswhoeat,49.62,Neutral 😐
ayshahkamel,50.5,Neutral 😐
bethrodden,51.2,Neutral 😐
bastihansen,50.25,Neutral 😐
carlotabruna,50.11,Neutral 😐
abigail.mewbourne,40.91,Neutral 😐
amaliehoelgaard,47.12,Neutral 😐
aabrunelle,50.51,Neutral 😐
blogdofm,48.23,Neutral 😐
anewdawnn,49.9,Neutral 😐
bambibloodlust,50.62,Neutral 😐
bethsbookshelf,49.6,Neutral 😐
barebeautyblog,48.89,Neutral 😐
austinstateofmind,51.09,Neutral 😐
amymeekspac,40.91,Neutral 😐
activeandnourished,49.96,Neutral 😐
anziedasabe,48.12,Neutral 😐
ankitaa.das,49.86,Neutral 😐
alxna0106,49.69,Neutral 😐
annah_todd,50.61,Neutral 😐
_baileythecavoodle,49.52,Neutral 😐
boxerpup_brothers,49.72,Neutral 😐
adorablecockers,50.73,Neutral 😐
anothervancityfoodie,50.38,Neutral 😐
aleesha_h,49.95,Neutral 😐
amandooda,50.0,Neutral 😐
carmencabezasphoto,50.64,Neutral 😐
champagne_and_pearls,50.55,Neutral 😐
anafitfoodie,50.2,Neutral 😐
asuka__na,45.24,Neutral 😐
afizyassin,50.0,Neutral 😐
blackcatyoga,50.0,Neutral 😐
calireviewingmama,49.83,Neutral 😐
amberafterglowreads,50.0,Neutral 😐
chiccaa_92,50.41,Neutral 😐
businessjets,46.43,Neutral 😐
alissvlogchannel,49.4,Neutral 😐
afashionnerd,49.91,Neutral 😐
brunetteboheme,49.41,Neutral 😐
abby_turner,0.0,Neutral 😐
ahappiersoul,49.9,Neutral 😐
betsydgreat,0.0,Neutral 😐
angelica_giannini,50.0,Neutral 😐
21andhungry,50.0,Neutral 😐
bikeboundblog,48.08,Neutral 😐
anoblehome,49.91,Neutral 😐
amberarbucci,49.47,Neutral 😐
cartiamallan,49.86,Neutral 😐
brunabravo,50.0,Neutral 😐
charlottemckinney,50.46,Neutral 😐
beyondsouthbeach,50.39,Neutral 😐
blissfullybrittneymarie,49.89,Neutral 😐
ayinsane,49.83,Neutral 😐
aoutrageous,50.62,Neutral 😐
allisontinajero,46.67,Neutral 😐
aleuriselli,49.17,Neutral 😐
carmenvantini,49.09,Neutral 😐
andrewscites,50.0,Neutral 😐
byfashionaholic,49.25,Neutral 😐
blackdiaryblog,50.0,Neutral 😐
christinasikalias,50.36,Neutral 😐
christianinfante11,50.53,Neutral 😐
chichinaalina,49.43,Neutral 😐
blendandchat,47.86,Neutral 😐
kateballamy,49.91,Neutral 😐
cassiebrown,49.93,Neutral 😐
balancingandie,50.15,Neutral 😐
a_costantino,46.43,Neutral 😐
biscuitthevizsla,50.0,Neutral 😐
camillasiber,50.0,Neutral 😐
chiapiscedda,49.52,Neutral 😐
_aylindemir,50.31,Neutral 😐
africanunchained,51.18,Neutral 😐
alifeofclarity,49.9,Neutral 😐
an_affair_from_the_heart,49.46,Neutral 😐
buenapublicidad,50.0,Neutral 😐
believexbalance,50.0,Neutral 😐
aww_actress_,0.0,Neutral 😐
andri__anna,49.38,Neutral 😐
bethanyciotola,49.89,Neutral 😐
alinamerkau,50.27,Neutral 😐
beauvdgraaf,51.14,Neutral 😐
brickdustbaby,49.64,Neutral 😐
2ctorkia,49.84,Neutral 😐
akessonellen,50.26,Neutral 😐
chizzocute,50.64,Neutral 😐
bysuellenmandu,46.55,Neutral 😐
alexcurtiswellness,49.95,Neutral 😐
arinuute,50.0,Neutral 😐
ashbrookedaily,50.96,Neutral 😐
amerrymishap,51.07,Neutral 😐
alybivins,49.66,Neutral 😐
annanassaft,50.09,Neutral 😐
alyinwxnderland,50.49,Neutral 😐
cheriesheriff,49.32,Neutral 😐
hannahandclint,50.66,Neutral 😐
allisonmathisjones,49.25,Neutral 😐
charlielfriend,49.11,Neutral 😐
amaliuz,49.59,Neutral 😐
barrealley,49.94,Neutral 😐
anjel.mtl,100.0,Positive 😄
_capturingmamahood,51.0,Neutral 😐
beerboysadl,50.88,Neutral 😐
katerinaporta,49.89,Neutral 😐
amineezack,49.64,Neutral 😐
bacon.the.frenchbulldog,50.0,Neutral 😐
changsterjey,49.82,Neutral 😐
alexcentomo,48.04,Neutral 😐
catchingkerosene,49.74,Neutral 😐
chrissy_2203,51.05,Neutral 😐
a1_fleeky,50.05,Neutral 😐
alessandra_bergomi,50.79,Neutral 😐
ambereelizabeth,48.9,Neutral 😐
bostondaybook,49.42,Neutral 😐
benedictewessel,50.03,Neutral 😐
ashoonk,48.04,Neutral 😐
amysmakeupbox,50.51,Neutral 😐
anurbannomadic,49.66,Neutral 😐
christiannkoepke,49.67,Neutral 😐
apipocamaisdoce,51.1,Neutral 😐
alaa_balkhy,50.11,Neutral 😐
amysoub,49.02,Neutral 😐
adambertalan,49.56,Neutral 😐
calipsoaranda,49.76,Neutral 😐
andrea_marie311,50.03,Neutral 😐
adrianystefanyc,50.49,Neutral 😐
alexjohnson89,49.9,Neutral 😐
aleksandarjason,50.16,Neutral 😐
adamfrancisco,49.91,Neutral 😐
brookepender,50.6,Neutral 😐
bethanysmithyoga,50.01,Neutral 😐
autumnsauvan,50.0,Neutral 😐
bowwow_bauer_thegolden,50.0,Neutral 😐
alizelim,49.91,Neutral 😐
aaronbhall,48.2,Neutral 😐
anna_christine21,50.0,Neutral 😐
adventure_meets_style,49.35,Neutral 😐
cashythegoldendoodle,50.74,Neutral 😐
byattn,50.32,Neutral 😐
baddiewinkle,50.83,Neutral 😐
aliceliveing,49.17,Neutral 😐
chandlerlovelle,50.47,Neutral 😐
analeisethomas,50.34,Neutral 😐
bby_sxo,49.89,Neutral 😐
aarondegroeve,50.51,Neutral 😐
cheftimhollingsworth,50.94,Neutral 😐
brureallife,49.94,Neutral 😐
anniset,50.17,Neutral 😐
christinazayas,50.42,Neutral 😐
best.in.show,53.57,Neutral 😐
bally_hayer,50.07,Neutral 😐
aurelie.youtube,50.36,Neutral 😐
cheerryyy,50.0,Neutral 😐
camillelenore,50.27,Neutral 😐
ashrachelle,51.61,Neutral 😐
buzzbishop,47.83,Neutral 😐
ari.christinee,49.15,Neutral 😐
centslessmeals,50.0,Neutral 😐
andreaantequera,50.0,Neutral 😐
amindfullmom,51.79,Neutral 😐
abraham_van_detta,49.62,Neutral 😐
charcooll,46.15,Neutral 😐
aluiza__,50.45,Neutral 😐
c0urtneyreid,50.0,Neutral 😐
bijouxsbasket,50.0,Neutral 😐
alexemichaud,49.9,Neutral 😐
amydrauch,47.78,Neutral 😐
acooknamedmatt,50.45,Neutral 😐
ashleynorthstyle,50.29,Neutral 😐
americatravels,49.72,Neutral 😐
ashleydirksen,50.74,Neutral 😐
authenticangela,50.2,Neutral 😐
aysyuva,51.04,Neutral 😐
charlottestrong,50.52,Neutral 😐
araujovivianne,50.78,Neutral 😐
chinutay,49.22,Neutral 😐
aprilstylealbum,48.14,Neutral 😐
carlybloggs,49.72,Neutral 😐
catederi,56.25,Neutral 😐
alexthemillennial,0.0,Neutral 😐
buddy.the.pit,49.5,Neutral 😐
akeeleywhite,49.91,Neutral 😐
anto_cavalieri,51.02,Neutral 😐
adamgonon,50.1,Neutral 😐
aannaamaariee,49.93,Neutral 😐
bolivarvalera,51.4,Neutral 😐
andiethues,49.85,Neutral 😐
carlao_nabatalha,50.0,Neutral 😐
annafavaretto,50.15,Neutral 😐
chanelhurlin,49.69,Neutral 😐
choosey_d,49.22,Neutral 😐
alinecastelo,51.35,Neutral 😐
chalondawebbdotcom,48.08,Neutral 😐
cancanancavidan,50.39,Neutral 😐
arangoirene,49.87,Neutral 😐
alyscasella,49.75,Neutral 😐
angystearoom,50.19,Neutral 😐
brandonpmyers,50.39,Neutral 😐
4everestherr,50.54,Neutral 😐
_alyssamay,49.69,Neutral 😐
bizneworleans,0.0,Neutral 😐
charlinergn,49.47,Neutral 😐
chiediloalladani,49.3,Neutral 😐
basebodybabes,51.47,Neutral 😐
alliesfashionalley,49.0,Neutral 😐
allyxnicole,48.94,Neutral 😐
asnapshotofme,49.9,Neutral 😐
blackkart,49.44,Neutral 😐
_andinoos,49.88,Neutral 😐
_callmemariss,50.12,Neutral 😐
blazarandjeans,49.73,Neutral 😐
avankoeverden,50.94,Neutral 😐
camille_dg,49.34,Neutral 😐
barbaraffs_,50.89,Neutral 😐
brooke.ellis_,49.81,Neutral 😐
bethanystimson,50.03,Neutral 😐
aikiv6tti,53.57,Neutral 😐
bmore.balanced,50.18,Neutral 😐
ablendermom,50.97,Neutral 😐
anchitnatha,50.63,Neutral 😐
alexismahdavi,49.68,Neutral 😐
alia.cheung,48.77,Neutral 😐
callmiigaga,50.0,Neutral 😐
barithedietitian,50.03,Neutral 😐
cc_me_on_it,49.32,Neutral 😐
chicincali,49.5,Neutral 😐
calajolie,49.28,Neutral 😐
mamirrachadas,50.1,Neutral 😐
austenmarie,49.79,Neutral 😐
ashleysolbergblog,50.11,Neutral 😐
auttiewags,54.17,Neutral 😐
caycewhitlock,51.43,Neutral 😐
amberkorf,48.56,Neutral 😐
carmelitafalcone,50.5,Neutral 😐
